monogram_id,labels_saranga,labels_ezechiel,labels_barry,quality_label,Remarks,Remarks2,split
245__5.188__692,3,M1,M3,3,,,train
175__5.109-110__721,1,M3,M2,1,clash,poor contrast,train
12__5.45__762,1,M3,M2,2,clash,"perhaps if entire letters are absent, 2 is better",train
234__5.174__272,1,M1,M2,1,,,train
317__5.257-258__159,0,M2,M1,1,clash,"Why M2, eze?",train
203__3.26__20,0,M2,M2,1,,,train
37__5.40__204,1,M1,M2,1,,,train
95__8.23__785,1,M3,M3,2,not illegeible,,train
109__5.10__521,2,M1,M3,2,clash,very poor contrast,train
118__2.33__87,1,M1,M2,1,,,train
216__5.164__726,2,M3,M2,2,,,train
196__5.85__331,1,M0,M2,1,clash,,train
11__5.47__5,2,M2,M2,2,,,train
295__5.217__442,2,M1,M2,2,,,train
214__4.3__367,1,M2,M2,1,,,train
55__5.50__754,2,M2,M3,2,,,train
23__5.16__370,1,M1,M2,1,,,train
108__5.82__373,0,M1,M1,0,quite clear,,train
76__4.26__232,0,M0,M0,0,,,train
151__2.48__313,1,M1,M2,1,,,train
201__8.20__125,1,M2,M2,2,,,train
71__5.100__702,1,M2,M2,2,,,train
63__5.89__66,1,M0,M2,1,clash,top part is slightly broken,train
122__5.269__216,1,M1,M2,1,,,train
61__5.96__34,0,M1,M1,0,Quite clear,,train
321__3.14__96,0,M2,M0,0,,,train
70__5.97__163,1,M1,M1,1,,,train
278__8.40__436,0,M2,M0,0,,"why M2, eze?",train
32__5.30-31__623,1,M2,M2,2,,,train
138__5.233__795,3,M2,M3,3,,,train
126__5.101__503,1,M1,M3,1,why M3 barry?,,train
212__5.160__57,1,M2,M1,1,,,train
140__5.248__106,0,M1,M1,0,,,train
29__5.32__261,1,M3,M2,1,,1 letter broken,train
92__2.8__453,2,M2,M2,2,,,train
261__8.31__460,2,M1,M2,2,,,train
157__5.104__738,1,M2,M1,1,,,train
185__2.55__740,1,M2,M2,1,only partial damage,,train
36__5.39__659,2,M1,M3,2,clash,,train
145__4.32__379,0,M0,M1,0,,,train
83__2.23__327,1,M2,M1,1,,,train
39__4.23__274,1,M2,M1,1,,,train
255__5.188__692,3,M1,M3,3,,,train
296__5.218__172,2,M2,M2,2,,,train
46__8.19__542,3,M1,M3,3,Why M1 eze?,,train
VI__5.44__16,2,M1,M1,1,,,train
XII__7.8__201,1,M2,M2,2,,,train
10__5.46__706,0,M3,M1,1,clash,,train
276__4.38__434,1,M1,M2,1,,,train
5__4.4__30,1,M1,M1,1,,,train
182__3.3__70,1,M1,M2,1,,,train
303__5.224__197,2,M2,M2,2,,,train
X__2.66__437,1,M2,M1,1,,,train
222__8.28__668,3,M2,M3,3,,,train
141__2.29__378,0,M2,M2,1,not-so-good contrast,,train
179__5.122__202,0,M1,M0,0,,,train
338__8.46__457,3,M2,M2,2,,,train
120__5.263__127,2,M2,M3,2,,,train
67__5.94__94,1,M1,M2,1,,,train
6__3.30__31,1,M1,M2,1,,,train
315__5.228__717,1,M1,M0,1,,,train
220__3.46__330,2,M1,M3,2,clash,,train
60__5.86__639,1,M2,M2,2,,,train
III__3.13__443,1,M1,M2,1,,,train
289__3.49__114,0,M2,M1,0,clearly visible,,train
282__5.205__247,1,M1,M2,1,,,train
241__5.182-183__212,1,M1,M2,1,,,train
269__8.33__112,1,M1,M2,1,,,train
188__5.145__187,1,M1,M2,1,,,train
90__4.4__30,1,M2,M2,1,"nothing broken, just contrast problem",,train
73__5.99__98,3,M2,M2,3,entire middle structure damaged,an exceptional case to otherwise M2 case,train
125__2.40__164,1,M1,M1,1,,,train
143__2.23__327,2,M2,M2,2,,,train
238__5.15__325,2,M2,M2,2,,,train
320__5.94__94,1,M0,M2,1,clash,,train
62__2.10__95,1,M0,M2,1,clash,top part is slightly broken,train
78__5.60__83,2,M2,M2,2,,,train
74__5.72__703,1,M2,M2,2,,,train
13__5.225__323,1,M1,M1,1,,,train
253__5.191__234,0,M0,M0,0,,,train
230__3.27__252,1,M3,M2,2,clash,,train
243__8.45__648,1,M2,M2,2,,,train
156__5.217__442,1,M1,M2,1,,,train
82__2.22__322,1,M2,M1,1,,,train
79__5.62-63__444,1,M1,M2,1,,,train
294__2.58__339,2,M2,M2,2,,,train
291__5.212__251,1,M1,M1,1,,,train
21__5.15__325,1,M2,M1,1,,,train
135__5.245__178,1,M2,M2,1,"why M2 eze, barry?",,train
334__2.18__324,1,M0,M1,1,,,train
34__5.170__523,3,M2,M3,3,,,train
319__8.26__81,2,M2,M2,2,,,train
IX__4.19__326,3,M2,M2,2,,,train
308__3.33__320,2,M2,M2,2,,,train
232__8.29__289,1,M1,M1,1,,,train
268__5.196-197__462,2,M1,M2,2,,,train
80__5.135__284,1,M1,M1,1,,,train
215__5.163__624,1,M2,M2,2,,,train
57__5.53__513,3,M2,M3,3,,,train
226__5.170__523,1,M2,M2,2,,,train
26__5.23-27__154,1,M1,M2,1,,,train
II__2.11__334,1,M2,M2,1,,,train
236__8.30__515,2,M2,M2,2,,,train
288__4.14__74,1,M2,M2,2,"Right E not complete, bottom O partially broken",,train
168__5.107__71,2,M1,M2,2,,,train
22__5.14__571,2,M1,M2,2,,,train
56__4.40__217,1,M1,M2,1,,,train
88__4.14__74,0,M1,M0,0,,,train
221__5.166__73,2,M1,M2,2,clash,,train
166__5.141-142__307,1,M1,M2,1,,,train
19__2.5__712,1,M3,M2,2,Why M3 eze?,"perhaps if entire letters are absent, 2 is better",train
152__2.47__314,1,M2,M2,1,only partial damage of ligature,,train
33__5.35__12,2,M1,M2,2,,,train
81__5.65__101,0,M2,M0,0,Why M2 eze?,,train
VII__5.139__9,1,M1,M1,1,,,train
330__5.18__470,2,M1,M2,2,,,train
124__5.67-68__183,0,M1,M2,0,clash,quite clear,train
224__5.167__167,1,M2,M1,1,,,train
158__5.103__711,2,M3,M2,2,,,train
XI__7.4__404,1,M3,M1,1,"why M3, eze?",,train
111__5.83__482,1,M1,M2,1,,,train
231__2.12__492,1,M2,M1,1,,,train
235__5.176__61,0,M1,M0,0,,,train
132__5.253__475,0,M1,M2,1,clash,why M2 barry?,train
107__5.254__435,0,M0,M1,0,,,train
187__5.139__9,0,M2,M0,0,"why M2, eze?",,train
59__5.87__6,1,M1,M1,1,,,train
298__5.225__323,2,M2,M2,2,,,train
239__5.181__64,1,M1,M0,1,,,train
161__3.19__42,1,M2,M2,2,,,train
48__4.6__53,1,M2,M1,1,,,train
292__2.22__322,0,M2,M0,0,,,train
323__8.34__472,2,M1,M2,2,,,train
134__2.20__193,0,M0,M1,0,,,train
121__5.268__518,1,M2,M2,1,still visible despite bottom broken,,train
86__5.69__22,1,M1,M1,1,,,train
130__4.20__328,1,M1,M2,1,,,train
335__2.15__372,1,M1,M2,1,,,train
336__3.32__333,2,M2,M2,2,,,train
IV__5.159__318,2,M2,M2,2,,,train
146__5.250__433,1,M1,M2,1,,,train
210__5.158__250,2,M3,M2,2,,,train
91__5.70__727,2,M1,M2,2,,,train
112__5.84__633,1,M2,M1,1,,,train
167__2.11__334,1,M1,M2,1,,,train
150__4.17__185,1,M1,M2,1,,,train
128__8.24__796,2,M2,M3,2,,,train
96__4.10__162,1,M0,M3,1,clash,why M3 barry?,train
248__5.17__260,0,M1,M1,0,"Clearly visible, good contrast",,train
337__7.17__697,2,M1,M3,2,clash,,train
258__3.4__157,1,M1,M0,1,,,train
117__4.36__696,1,M0,M2,1,clash,,train
104__5.80__381,1,M2,M2,1,contrast problem,,train
270__5.2__538,1,M1,M2,1,,,train
227__5.169__55,2,M2,M1,2,,,train
271__8.38__245,2,M1,M2,2,,,train
160__3.10__439,1,M1,M2,1,,,train
139__2.4__371,1,M2,M2,1,Only part of ligature broken,,train
262__2.49__306,2,M2,M2,2,,,train
207__4.30__455,2,M3,M2,2,,,train
233__5.175__489,1,M1,M2,1,,,train
300__5.219__676,3,M2,M2,2,,,train
129__8.25__619,2,M2,M2,2,,,train
1__5.249__699,1,M2,M1,1,,,train
247__5.186__303,0,M1,M1,1,,,train
181__2.44__59,0,M1,M0,0,,,train
43__3.12__508,1,M2,M1,1,,,train
250__3.26__20,1,M2,M2,2,,,train
110__2.41__497,3,M2,M3,3,,,train
31__5.29__409,3,M2,M3,3,,,train
193__5.149__219,1,M1,M1,1,,,train
311__3.40__288,2,M1,M1,2,,,train
116__5.261__207,2,M2,M2,2,,,train
7__2.2__484,3,M2,M3,3,,,train
9__4.47__62,0,M2,M0,0,Why M2 eze?,,train
V__8.38__245,2,M2,M2,2,,,train
113__5.85__331,1,M1,M2,1,,,train
173__5.111__46,0,M2,M0,0,Why M2 eze?,,train
174__2.26__285,1,M2,M2,1,just poor contrast,,train
265__5.192__211,1,M0,M1,1,,,train
69__3.14__96,0,M1,M1,0,Quite clear,,train
45__3.28__511,0,M1,M0,0,,,train
162__3.16__440,0,M1,M1,0,quite clear,,train
297__8.43__520,2,M2,M2,2,,,train
240__5.180__618,2,M2,M2,2,,,train
28__4.39__329,2,M2,M2,2,,,train
275__4.39__329,2,M0,M1,2,clash,"very poor contrast, why M0, eze?",train
